,Country,ISO3 Code,Date,Price (EUR/MWhe)
63540,Norway,NOR,2015-12-05,15.99
63541,Norway,NOR,2015-12-06,13.83
63542,Norway,NOR,2015-12-07,22.53
63543,Norway,NOR,2015-12-08,21.36
63544,Norway,NOR,2015-12-09,19.42
63545,Norway,NOR,2015-12-10,18.53
63546,Norway,NOR,2015-12-11,19.78
63547,Norway,NOR,2015-12-12,19.82
63548,Norway,NOR,2015-12-13,21.41
63549,Norway,NOR,2015-12-14,26.91
63550,Norway,NOR,2015-12-15,21.35
63551,Norway,NOR,2015-12-16,22.52
63552,Norway,NOR,2015-12-17,21.3
63553,Norway,NOR,2015-12-18,18.02
63554,Norway,NOR,2015-12-19,15.42
63555,Norway,NOR,2015-12-20,12.7
63556,Norway,NOR,2015-12-21,13.43
63557,Norway,NOR,2015-12-22,13.22
63558,Norway,NOR,2015-12-23,11.86
63559,Norway,NOR,2015-12-24,10.14
63560,Norway,NOR,2015-12-25,9.18
63561,Norway,NOR,2015-12-26,11.77
63562,Norway,NOR,2015-12-27,13.68
63563,Norway,NOR,2015-12-28,17.9
63564,Norway,NOR,2015-12-29,15.84
63565,Norway,NOR,2015-12-30,15.61
63566,Norway,NOR,2015-12-31,15.4
63567,Norway,NOR,2016-01-01,16.61
63568,Norway,NOR,2016-01-02,15.54
63569,Norway,NOR,2016-01-03,16.73
63570,Norway,NOR,2016-01-04,18.85
63571,Norway,NOR,2016-01-05,20.63
63572,Norway,NOR,2016-01-06,27.65
63573,Norway,NOR,2016-01-07,39.2
63574,Norway,NOR,2016-01-08,29.0
63575,Norway,NOR,2016-01-09,24.37
63576,Norway,NOR,2016-01-10,21.5
63577,Norway,NOR,2016-01-11,30.07
63578,Norway,NOR,2016-01-12,27.98
63579,Norway,NOR,2016-01-13,29.97
63580,Norway,NOR,2016-01-14,37.36
63581,Norway,NOR,2016-01-15,39.66
63582,Norway,NOR,2016-01-16,26.59
63583,Norway,NOR,2016-01-17,25.85
63584,Norway,NOR,2016-01-18,41.11
63585,Norway,NOR,2016-01-19,49.54
63586,Norway,NOR,2016-01-20,49.09
63587,Norway,NOR,2016-01-21,73.15
63588,Norway,NOR,2016-01-22,35.17
63589,Norway,NOR,2016-01-23,23.83
63590,Norway,NOR,2016-01-24,22.14
63591,Norway,NOR,2016-01-25,23.83
63592,Norway,NOR,2016-01-26,18.04
63593,Norway,NOR,2016-01-27,16.66
63594,Norway,NOR,2016-01-28,16.83
63595,Norway,NOR,2016-01-29,16.24
63596,Norway,NOR,2016-01-30,15.35
63597,Norway,NOR,2016-01-31,16.51
63598,Norway,NOR,2016-02-01,18.3
63599,Norway,NOR,2016-02-02,16.96
63600,Norway,NOR,2016-02-03,17.78
63601,Norway,NOR,2016-02-04,18.22
63602,Norway,NOR,2016-02-05,20.64
63603,Norway,NOR,2016-02-06,15.91
63604,Norway,NOR,2016-02-07,15.01
63605,Norway,NOR,2016-02-08,15.47
63606,Norway,NOR,2016-02-09,17.11
63607,Norway,NOR,2016-02-10,19.0
63608,Norway,NOR,2016-02-11,19.39
63609,Norway,NOR,2016-02-12,20.87
63610,Norway,NOR,2016-02-13,18.58
63611,Norway,NOR,2016-02-14,17.46
63612,Norway,NOR,2016-02-15,20.95
63613,Norway,NOR,2016-02-16,25.1
63614,Norway,NOR,2016-02-17,18.54
63615,Norway,NOR,2016-02-18,22.52
63616,Norway,NOR,2016-02-19,20.34
63617,Norway,NOR,2016-02-20,16.71
63618,Norway,NOR,2016-02-21,16.62
63619,Norway,NOR,2016-02-22,18.77
63620,Norway,NOR,2016-02-23,19.73
63621,Norway,NOR,2016-02-24,20.03
63622,Norway,NOR,2016-02-25,23.76
63623,Norway,NOR,2016-02-26,22.28
63624,Norway,NOR,2016-02-27,19.51
63625,Norway,NOR,2016-02-28,18.92
63626,Norway,NOR,2016-02-29,22.1
63627,Norway,NOR,2016-03-01,19.85
